1,3.472,2,10,9,1,1.12,2,1,10,90
1,1.5539,2,10,10,1,0.38,2,2,10,120
0,7.7628,4,10,9,1,0.51,2,1,10,80
1,3.8181,4,10,8,1,0.39,3,2,10,125
1,1.9615,2,10,10,1,1.42,4,1,10,99
3,1.4914,5,10,10,1,0.37,4,1,10,210
0,7.659,2,0,0,1,0,1,1,0,79
0,3.0478,2,10,9,1,0.68,1,1,10,65
2,0.8301,4,10,10,1,0.42,2,2,10,171
1,0.074744,2,10,10,1,0.82,4,1,10,130
1,2.5904,1,9,9,0,0.4,3,1,10,40
0,0.92343,2,0,0,1,0,3,1,0,200
1,1.6819,2,10,10,1.5,0.64,2,2,10,169
0,1.3741,2,10,9,1.5,0.13,2,1,10,120
1,1.787,2,10,8,1,1.2,2,1,9,25
2,4.3851,3,10,10,1,0.27,1,2,10,120
0,2.4538,2,10,9,1,1.2,2,2,10,89
2,1.3671,4,10,10,1,1.22,2,2,10,120
1,3.2345,2,10,9,1.5,1.78,1,1,10,75
0,3.3841,2,0,0,1,0,4,1,0,60
1,2.5629,2,10,9,1,1.68,1,1,10,89
2,3.5547,4,0,0,2,0,2,1,0,175
1,1.7513,2,10,9,1,0.11,4,2,10,108
1,0.66673,2,0,0,1,0,2,1,0,155
1,2.385,2,10,10,1.5,0.51,2,1,10,146
0,0.27276,2,10,10,1,3.45,2,1,10,111
1,1.4527,2,10,10,1,1.75,1,1,9,111
5,3.4048,8,10,8,1.5,0.22,2,6,10,251
1,4.0336,2,9,9,1,0.74,2,1,10,200
1,2.9125,3,10,9,1,1.76,1,2,10,120
1,2.9342,2,9,9,1,0.75,2,1,8,55
1,2.4257,4,10,9,1,3.7,1,4,10,200
1,1.7168,2,10,9,1,4.22,1,2,10,89
2,4.035,4,9,9,1,5.04,1,1,9,149
1,2.8891,2,10,10,1.5,2.1,2,2,10,95
1,2.3617,3,10,10,1,1.07,1,2,10,111
2,1.306,3,0,0,1,0,2,2,0,111
1,1.7892,2,10,10,1.5,1.14,3,1,10,60
1,2.9262,2,10,9,1,0.95,1,1,10,80
1,3.1277,2,0,0,1,0.34,1,1,0,65
3,5.081,4,0,0,1,0,3,1,0,111
2,1.8566,3,10,9,1,0.52,3,1,10,150
1,3.0109,2,10,10,1,0.38,2,1,10,90
1,0.97885,2,8,10,1,1,3,1,8,100
1,0.60742,4,10,10,0,0.23,4,2,10,140
1,2.8746,3,9,8,1,4.04,1,1,9,69
1,1.0359,2,10,10,1,0.08,2,1,10,150
4,2.5033,4,10,10,1.5,0.44,3,1,10,180
1,1.4739,2,10,10,1,1.75,3,1,10,180
1,2.8848,3,10,9,1,0.75,3,2,10,98
1,0.51155,3,10,10,1,2.14,2,2,10,120
1,2.0355,2,10,9,1,4.37,2,1,10,134
2,1.0676,3,10,10,1.5,1.22,3,1,10,451
2,0.73739,4,10,10,1,1.6,1,1,10,175
3,1.5494,6,10,10,2,0.62,2,1,10,401
2,3.6326,4,10,8,1,1.27,2,1,10,139
1,1.7622,2,10,10,1,2.51,1,2,10,88
1,5.035,2,10,8,1.5,1,1,1,10,50
2,7.5071,4,0,0,1,0.7,1,1,0,130
2,3.4314,4,10,10,1,0.5,1,2,10,150
2,0.86537,4,10,10,1,2.94,3,2,10,276
1,1.7477,2,10,10,1,0.47,4,1,10,62
1,3.63,1,10,9,1,6.34,1,1,10,35
2,3.659,4,0,0,1.5,0,1,1,0,136
1,0.36218,2,10,10,1,1.58,2,1,10,169
1,2.4127,2,10,7,1,0.66,3,1,10,95
2,1.285,4,9,9,1,1,2,2,9,100
