accommodates,bathrooms,cleaning_fee,distance_to_dam,bedrooms,minimum_nights,review_scores_location,beds,reviews_per_month,review_scores_communication
2.8,2.13,1.0,1.85195674562,1.9,1.03603603604,9.1,2.13,1.11020408163,10.0
2.8,2.6875,2.02564102564,1.64804325438,1.9,1.00900900901,10.0,2.13,1.11755102041,9.1
2.2,2.13,1.89743589744,2.88851699279,1.9,1.00900900901,9.1,2.13,1.30857142857,10.0
2.2,2.13,1.64102564103,4.91529351184,1.9,1.00900900901,9.1,2.13,3.8212244898,10.0
1.6,2.6875,2.28205128205,2.72090628218,1.9,1.05405405405,1.0,2.13,1.0,1.0
2.2,2.13,2.15384615385,2.09217301751,1.9,1.00900900901,10.0,1.5625,1.24244897959,10.0
2.8,2.13,1.89743589744,1.32131822863,2.8,1.00900900901,10.0,2.13,1.57306122449,10.0
2.8,2.6875,1.89743589744,2.05973223481,1.9,1.01801801802,10.0,2.6875,2.68244897959,10.0
2.8,2.13,2.28205128205,2.37950566426,1.9,1.01801801802,9.1,2.13,4.67346938776,9.1
1.6,2.13,1.0,3.32646755922,1.9,1.0,1.0,2.13,1.0,1.0
1.0,2.13,1.25641025641,4.27729145211,1.9,1.00900900901,9.1,1.5625,2.56489795918,9.1
1.6,2.13,1.89743589744,3.25926879506,1.9,1.01801801802,8.2,1.5625,1.43346938776,10.0
2.8,2.6875,2.02564102564,2.69850669413,4.6,1.00900900901,9.1,2.6875,1.45551020408,10.0
2.8,2.13,1.89743589744,1.26338825953,2.8,1.00900900901,10.0,2.13,1.20571428571,10.0
2.8,2.13,2.28205128205,2.20648815654,2.8,1.00900900901,9.1,2.13,3.9387755102,10.0
10.0,3.25,4.20512820513,3.08547888774,6.4,1.00900900901,8.2,10.0,1.89632653061,10.0
2.8,2.13,1.64102564103,2.78347064882,2.8,1.00900900901,9.1,2.6875,1.27918367347,9.1
1.6,2.6875,1.89743589744,2.37178166838,1.9,1.03603603604,1.0,1.5625,1.0,1.0
1.6,2.13,1.25641025641,4.32363542739,1.0,1.0,1.0,1.5625,1.0,1.0
2.2,2.13,1.76923076923,2.45056642636,1.9,1.00900900901,9.1,1.5625,6.22367346939,10.0
1.6,2.13,1.0,1.32672502575,1.9,1.01801801802,10.0,1.5625,2.40326530612,10.0
