"accommodates" "bathrooms" "cleaning_fee" "distance_to_dam" "bedrooms" "prices"
2.8 2.125 2.02564102564103 2.90087538619979 1.9 99
2.8 2.6875 1 3.18125643666323 2.8 125
1.6 2.125 1 1.96163748712667 1.9 85
1.6 2.125 1 2.52548918640577 1.9 80
1.6 2.125 1 2.33161688980433 1.9 65
4 2.125 2.28205128205128 2.06050463439753 3.7 251
1.6 2.125 1 4.80870236869207 1.9 65
1.6 2.125 1.51282051282051 3.16889804325438 1.9 90
2.8 2.125 1 2.02729145211123 2.8 150
4 3.8125 2.92307692307692 1.78398558187436 2.8 181
1.6 2.125 2.15384615384615 2.59114315139032 1.9 129
1.6 2.125 1 6.56745623069001 1.9 62
1.6 2.125 1 2.21961894953656 1.9 169
4 2.125 1.76923076923077 3.37049433573635 2.8 55
1.6 2.125 1 5.27986611740474 1.9 89
2.8 2.125 1.8974358974359 1.91761071060762 2.8 200
2.8 2.125 1.64102564102564 2.03656024716787 2.8 276
1.6 1 1.76923076923077 1.71524201853759 1.9 111
1.6 2.125 1.38461538461538 2.07131822863028 1.9 100
1.6 3.25 1 2.9124613800206 1.9 80
1.6 2.125 1.30769230769231 2.02188465499485 1.9 99
1.6 2.125 1 4.51596292481977 1.9 105
2.8 2.6875 2.92307692307692 3.53887744593203 3.7 166
2.8 2.125 1 4.69747682801236 2.8 159
2.2 2.125 1.8974358974359 2.74485066941298 3.7 209
1.6 2.125 1 3.53115345005149 1.9 106
1.6 2.125 1.51282051282051 3.85401647785788 1.9 85
1.6 2.125 2 4.1096807415036 1.9 79
2.8 2.125 2.53846153846154 1.72605561277034 3.7 230
1.6 2.125 1.8974358974359 2.3470648815654 1.9 88
4 3.25 3.05128205128205 3.04531410916581 4.6 350
1.6 2.125 1.64102564102564 2.89546858908342 1.9 99
1.6 2.125 1.8974358974359 2.48764160659114 1.9 89
1.6 2.125 1.8974358974359 1.72760041194645 1.9 100
2.8 2.125 1 5.76802265705458 1.9 80
2.8 2.125 2.28205128205128 4.71292481977343 1.9 97
1.6 2.125 1 4.45880535530381 1.9 150
3.4 2.125 1.8974358974359 1.51287332646756 1.9 235
1.6 2.6875 1 4.03553038105046 1.9 60
1.6 2.125 1.76923076923077 1.85118434603502 1.9 125
2.2 2.125 1 2.42044284243048 2.8 115
1.6 2.125 1 2.0975798146241 1.9 95
1.6 2.125 1 2.27136972193615 1.9 111
1.6 2.125 1.76923076923077 2.77420185375901 2.8 100
1 3.25 1 2.52935118434604 1.9 50
1.6 2.125 1 1.27806385169928 1.9 140
1.6 2.125 1 3.83934088568486 1.9 53
1.6 2.125 1 4.14752832131823 1.9 85
2.8 2.125 1 2.89160659114315 1.9 85
1.6 2.125 1.76923076923077 2.0659114315139 2.8 130
2.8 2.6875 1.25641025641026 7.5653964984552 2.8 99
3.4 2.125 1.8974358974359 1.34526261585994 1.9 125
1.6 2.125 1.76923076923077 1.56694129763131 1.9 120
1.6 2.125 1.64102564102564 2.90087538619979 1.9 90
1.6 2.125 2.02564102564103 3.36277033985582 1.9 140
2.2 2.125 1.76923076923077 9.40447991761071 1.9 35
1.6 2.125 1 3.26467559217302 1 85
1.6 2.125 1.76923076923077 3.68795056642637 1.9 55
2.8 2.6875 1 2.01416065911432 1.9 195
1.6 2.125 1.51282051282051 3.8370236869207 1.9 125
2.8 2.6875 2.28205128205128 1.70133882595263 1.9 200
1.6 2.125 1.64102564102564 3.37512873326468 1.9 95
