host_response_time,host_response_rate,host_acceptance_rate,host_total_listings_count,host_identity_verified,accommodates,bathrooms,bedrooms,beds,amenities,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,reviews_per_month,distance_to_dam,has_metro
3,100,100,1.0,1,2,1.0,0.0,1.0,7,0,1,0.0,3,30,4,16,21,21,21,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,1,1.55,1.58373123058,0
2,100,100,1.0,1,4,1.0,2.0,2.0,17,50.0,2,75.0,2,30,12,18,18,18,13,100.0,10.0,10.0,10.0,10.0,10.0,9.0,0,2,1,0.36,1.06582675819,0
3,100,33,1.0,1,2,1.0,1.0,1.0,11,30.0,1,0.0,2,30,6,6,6,6,18,99.0,10.0,9.0,10.0,10.0,10.0,10.0,0,0,1,0.83,2.04772922631,1
3,70,30,1.0,0,4,1.0,2.0,2.0,11,35.0,4,50.0,2,30,29,53,53,327,7,100.0,10.0,9.0,10.0,10.0,10.0,9.0,0,1,1,0.51,1.5038492579,0
1,100,100,1.0,0,3,1.0,2.0,2.0,17,35.0,1,0.0,2,30,0,3,3,3,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,1,0.51,3.22099938255,0
3,100,92,1.0,1,2,1.0,1.0,1.0,20,35.0,1,0.0,2,30,16,18,29,29,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,2,1,1.62,2.00298698279,0
1,99,98,81.0,1,3,1.5,2.0,2.0,20,50.0,1,0.0,2,30,0,0,0,0,4,80.0,5.0,9.0,7.0,7.0,8.0,8.0,0,2,71,0.82,2.30800982078,0
1,100,0,1.0,1,2,1.0,1.0,1.0,11,15.0,1,0.0,2,7,3,20,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0.0,3.15400942761,0
4,0,0,1.0,1,1,1.5,1.0,1.0,9,40.0,1,0.0,1,30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0.0,2.28850740811,1
1,100,100,1.0,1,4,1.0,1.0,1.0,16,35.0,2,15.0,2,3,1,6,6,37,15,95.0,9.0,10.0,10.0,10.0,10.0,9.0,0,1,1,3.52,3.24673043264,0
2,100,100,1.0,1,2,1.0,1.0,1.0,13,25.0,2,0.0,5,30,4,4,4,4,3,93.0,10.0,9.0,10.0,10.0,9.0,10.0,0,2,1,0.26,2.38441293914,0
1,99,100,166.0,1,4,1.5,2.0,2.0,12,49.0,1,0.0,2,30,0,13,13,13,1,80.0,10.0,10.0,8.0,8.0,10.0,8.0,1,0,156,0.52,1.56024043966,0
3,87,72,3.0,1,2,1.0,1.0,1.0,18,50.0,0,0.0,2,30,25,51,81,356,8,69.0,7.0,7.0,9.0,9.0,9.0,7.0,0,1,3,0.74,0.334565508267,0
1,99,100,166.0,1,4,1.0,1.0,2.0,16,39.0,1,0.0,2,30,17,43,73,347,19,63.0,8.0,8.0,7.0,7.0,9.0,7.0,1,1,156,3.26,1.15449752679,0
1,100,100,133.0,1,2,1.5,1.0,1.0,7,30.0,1,0.0,3,30,0,0,0,0,15,85.0,9.0,8.0,9.0,9.0,9.0,8.0,1,2,128,0.45,2.17556465926,0
2,89,100,1.0,1,2,1.0,1.0,1.0,21,25.0,1,0.0,7,30,0,7,27,112,8,95.0,10.0,10.0,10.0,10.0,10.0,9.0,0,2,1,1.34,1.83708910115,0
3,80,83,2.0,0,2,1.0,1.0,1.0,10,25.0,1,25.0,1,30,5,35,60,335,10,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,2,0.69,2.15812375717,0
1,99,100,166.0,1,2,1.0,1.0,1.0,15,39.0,1,0.0,2,30,14,21,21,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,156,0.0,4.13744077967,0
3,100,100,1.0,1,2,1.0,1.0,1.0,15,25.0,1,0.0,1,30,0,0,0,0,18,99.0,10.0,10.0,10.0,10.0,9.0,9.0,0,0,1,0.79,2.2334508524,0
1,100,100,1.0,1,4,1.0,0.0,2.0,10,30.0,2,25.0,3,30,1,9,19,293,61,85.0,9.0,8.0,9.0,9.0,9.0,8.0,1,2,1,1.75,4.59667599771,1
3,71,0,1.0,1,2,1.0,1.0,1.0,15,0,0,0.0,14,30,28,58,88,330,1,80.0,6.0,8.0,10.0,10.0,8.0,8.0,0,2,1,0.23,3.9345555649,1
3,94,100,1.0,0,4,1.0,2.0,2.0,12,20.0,1,0.0,3,30,1,1,1,1,1,80.0,8.0,6.0,10.0,10.0,8.0,8.0,0,2,1,1.0,2.76624385729,0
3,90,97,1.0,1,2,1.0,1.0,1.0,13,35.0,2,15.0,3,30,7,7,7,189,15,93.0,9.0,10.0,10.0,9.0,9.0,8.0,0,1,1,1.06,2.6085001665,0
2,100,44,1.0,1,2,1.0,1.0,2.0,11,0,1,0.0,1,30,30,60,90,365,11,93.0,10.0,9.0,9.0,10.0,9.0,9.0,0,0,1,1.03,3.77355073232,0
2,100,86,2.0,0,2,1.0,1.0,1.0,18,40.0,1,0.0,2,30,9,9,9,283,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2,0.0,1.2016361298,0
1,100,98,48.0,1,2,1.0,1.0,1.0,14,35.0,1,0.0,2,30,4,4,4,4,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,46,0.12,2.24172088504,0
