,bathrooms,bedrooms,beds,accommodates,guests_included,distance_to_dam,distance_to_metro,review_scores_accuracy,review_scores_location,review_scores_value
9481,1.0,1.0,1.0,2,1,3.38305317819,1.34687753017,10.0,10.0,9.0
1395,1.0,0.0,4.0,4,1,0.372705587549,0.544164525992,9.0,10.0,8.0
13043,1.0,1.0,1.0,2,1,2.18024382525,1.63039322621,10.0,10.0,10.0
13262,1.0,1.0,1.0,2,2,5.03850816357,1.237838244,9.0,7.0,8.0
3590,1.0,1.0,2.0,2,1,3.61642766396,2.96925974239,10.0,10.0,10.0
12848,1.0,2.0,2.0,3,1,2.1708704938,1.63171991715,10.0,8.0,9.0
10462,1.0,2.0,2.0,4,2,1.8760590089,2.09230365755,10.0,9.0,9.0
4307,1.0,1.0,1.0,2,1,1.15974462539,1.22486843399,9.0,10.0,9.0
2916,1.0,1.0,1.0,2,1,0.877235689682,1.30486623081,0.0,0.0,0.0
350,1.0,2.0,2.0,4,1,3.40418157481,2.7047128296,10.0,9.0,10.0
13527,1.0,1.0,1.0,1,1,4.37861956852,0.270670533228,0.0,0.0,0.0
4199,1.0,1.0,1.0,2,1,1.26818062368,1.30503492645,10.0,10.0,10.0
12014,1.0,1.0,2.0,4,2,1.79853457461,2.26174923026,9.0,9.0,9.0
11692,1.0,1.0,1.0,2,2,1.64913656498,1.88013500209,10.0,9.0,9.0
3591,2.0,1.0,1.0,2,1,3.66716197328,2.56795394311,8.0,8.0,10.0
9390,1.0,1.0,2.0,2,2,3.67350369537,0.868147004588,9.0,10.0,9.0
122,1.0,1.0,1.0,2,1,4.90752607785,4.16071387225,7.0,8.0,8.0
9310,1.5,3.0,5.0,4,2,3.5776916285,1.24396750143,10.0,10.0,10.0
4359,1.0,1.0,1.0,2,1,1.19396488468,1.26749150129,10.0,10.0,9.0
10749,2.0,2.0,4.0,4,2,2.84040842684,1.5579993835,9.0,9.0,9.0
10466,1.0,2.0,1.0,2,2,3.07440097244,0.858541265181,9.0,9.0,8.0
13029,1.0,2.0,2.0,4,4,3.05685125061,0.747234757792,0.0,0.0,0.0
5785,1.0,1.0,1.0,3,2,2.42788855339,1.13924556955,10.0,9.0,9.0
6711,1.0,1.0,1.0,2,1,1.32290719787,1.84428658181,9.0,10.0,9.0
5846,1.0,0.0,1.0,2,1,4.08629547543,0.0509765060349,10.0,9.0,9.0
657,1.0,1.0,2.0,3,1,1.90280820119,1.11704824647,9.0,9.0,9.0
13601,1.0,1.0,1.0,2,1,3.9502543724,0.402250379664,10.0,9.0,9.0
316,1.0,3.0,4.0,4,3,5.23449843381,3.79779060743,9.0,8.0,9.0
9724,1.0,2.0,2.0,2,2,3.94038400754,0.602978097005,10.0,9.0,10.0
6661,1.0,1.0,2.0,4,2,1.85869338995,1.34996674218,10.0,9.0,9.0
3960,1.0,1.0,1.0,4,4,1.17827569696,0.988428587721,10.0,10.0,9.0
11735,2.0,1.0,1.0,2,1,1.42589931105,1.8922212516,9.0,9.0,9.0
13470,1.0,1.0,1.0,3,2,3.47345938236,0.671697223396,0.0,0.0,0.0
6899,1.0,1.0,1.0,2,1,1.99122119683,1.82175198762,9.0,9.0,9.0
12694,1.0,2.0,2.0,2,1,2.7425603774,1.08011307173,10.0,10.0,10.0
12286,1.5,1.0,1.0,2,1,2.33948945451,2.01305563416,10.0,10.0,9.0
8283,1.0,2.0,2.0,4,2,1.97448021246,1.32221013854,10.0,10.0,10.0
7238,1.0,1.0,1.0,2,1,1.5488576088,1.84962053255,10.0,10.0,10.0
10683,1.0,1.0,2.0,3,2,2.44914064131,1.86669998619,9.0,9.0,9.0
13224,1.0,1.0,1.0,2,2,3.11153383336,0.897705063398,10.0,8.0,9.0
13681,1.0,2.0,2.0,4,2,5.96312624808,1.84206058848,10.0,9.0,9.0
12271,1.0,2.0,2.0,4,3,1.33692127748,1.76188891613,8.0,10.0,8.0
7983,1.0,1.0,1.0,2,2,2.32350921395,0.752917419674,10.0,10.0,10.0
776,1.0,1.0,1.0,2,1,1.90185264827,1.16592481984,9.0,8.0,8.0
6298,1.0,2.0,2.0,4,2,2.3962533386,1.60160989094,10.0,10.0,9.0
3471,1.5,2.0,3.0,4,2,2.88061006939,1.68569896445,10.0,10.0,9.0
5261,1.0,1.0,1.0,1,1,2.56101554064,1.23760173565,10.0,9.0,9.0
3319,1.0,2.0,2.0,4,2,3.34842115698,1.84382590371,10.0,8.0,9.0
11071,1.0,1.0,1.0,2,1,3.0336257395,1.52893757918,10.0,10.0,10.0
11792,1.0,1.0,1.0,3,1,2.8745626996,1.23178639649,9.0,8.0,8.0
11126,1.5,2.0,2.0,4,1,1.82268221067,2.22117051811,10.0,10.0,10.0
