"","x"
"1318",100
"1319",220
"1320",100
"1321",25
"1322",125
"1323",150
"1324",111
"1325",120
"1326",99
"1327",85
"1328",160
"1329",89
"1330",276
"1331",251
"1332",111
"1333",90
"1334",155
"1335",65
"1336",120
"1337",120
"1338",476
"1339",111
"1340",165
"1341",129
"1342",85
"1343",125
"1344",233
"1345",100
"1346",110
"1347",89
"1348",75
"1349",111
"1350",120
"1351",90
"1352",130
"1353",136
"1354",99
"1355",130
"1356",110
"1357",100
"1358",120
"1359",100
"1360",99
"1361",128
"1362",72
"1363",75
"1364",100
"1365",75
"1366",400
"1367",110
"1368",70
"1369",136
"1370",193
"1371",99
"1372",120
"1373",155
"1374",89
"1375",120
"1376",200
"1377",150
"1378",60
"1379",155
"1380",99
"1381",54
"1382",300
"1383",111
"1384",180
"1385",70
"1386",100
"1387",59
"1388",87
"1389",160
"1390",283
"1391",120
"1392",300
"1393",55
"1394",140
"1395",95
"1396",80
"1397",85
"1398",149
"1399",177
"1400",125
"1401",120
"1402",100
"1403",130
"1404",75
"1405",195
"1406",125
"1407",150
"1408",111
"1409",401
"1410",50
"1411",44
"1412",98
"1413",280
"1414",120
"1415",25
"1416",130
"1417",220
"1418",146
"1419",300
"1420",181
"1421",200
"1422",150
"1423",181
"1424",100
"1425",115
"1426",220
"1427",195
"1428",129
"1429",100
"1430",100
"1431",136
"1432",50
"1433",70
"1434",80
"1435",99
"1436",79
"1437",140
"1438",37
"1439",100
"1440",140
"1441",200
"1442",187
"1443",150
"1444",111
"1445",150
"1446",110
"1447",25
"1448",130
"1449",105
"1450",98
"1451",150
"1452",199
"1453",129
"1454",150
"1455",50
"1456",59
"1457",85
"1458",89
"1459",85
"1460",95
"1461",125
"1462",60
"1463",85
"1464",99
"1465",85
"1466",85
"1467",98
"1468",75
"1469",140
"1470",181
"1471",90
"1472",53
"1473",59
"1474",65
"1475",89
"1476",112
"1477",65
"1478",65
"1479",30
"1480",70
"1481",115
"1482",120
"1483",79
"1484",100
"1485",129
"1486",134
"1487",120
"1488",100
"1489",111
"1490",120
"1491",130
"1492",45
"1493",191
"1494",90
"1495",89
"1496",100
"1497",139
"1498",120
"1499",251
"1500",90
"1501",130
"1502",85
"1503",111
"1504",29
"1505",45
"1506",75
"1507",130
"1508",49
"1509",75
"1510",40
"1511",70
"1512",50
"1513",77
"1514",79
"1515",85
"1516",45
"1517",111
"1518",111
"1519",95
"1520",45
"1521",35
"1522",70
"1523",85
"1524",146
"1525",68
"1526",85
"1527",120
"1528",75
"1529",130
"1530",136
"1531",181
"1532",80
"1533",95
"1534",105
"1535",60
"1536",55
"1537",86
"1538",74
"1539",65
"1540",89
"1541",99
"1542",115
"1543",50
"1544",150
"1545",65
"1546",77
"1547",75
"1548",133
"1549",75
"1550",95
"1551",80
"1552",40
"1553",85
"1554",45
"1555",90
"1556",68
"1557",95
"1558",90
"1559",63
"1560",125
"1561",85
"1562",75
"1563",149
"1564",85
"1565",89
"1566",111
"1567",85
"1568",120
"1569",79
"1570",120
"1571",79
"1572",140
"1573",79
"1574",150
"1575",191
"1576",65
"1577",120
"1578",80
"1579",90
"1580",175
"1581",100
"1582",125
"1583",140
"1584",89
"1585",91
"1586",100
"1587",75
"1588",100
"1589",98
"1590",55
"1591",90
"1592",111
"1593",99
"1594",70
"1595",89
"1596",99
"1597",85
"1598",115
"1599",90
"1600",150
"1601",115
"1602",146
"1603",120
"1604",120
"1605",125
"1606",74
"1607",111
"1608",115
"1609",150
"1610",54
"1611",69
"1612",85
"1613",85
"1614",30
"1615",181
"1616",85
"1617",90
"1618",90
"1619",120
"1620",99
"1621",69
"1622",90
"1623",70
"1624",99
"1625",99
"1626",130
"1627",75
"1628",90
"1629",96
"1630",129
"1631",85
"1632",75
"1633",80
"1634",129
"1635",89
"1636",150
"1637",80
"1638",90
"1639",150
"1640",90
"1641",30
"1642",80
"1643",100
"1644",75
"1645",451
"1646",95
"1647",75
"1648",160
"1649",90
"1650",74
"1651",90
"1652",159
"1653",124
"1654",64
"1655",53
"1656",85
"1657",100
"1658",200
"1659",105
"1660",35
"1661",120
"1662",99
"1663",98
"1664",70
"1665",99
"1666",99
"1667",181
"1668",111
"1669",79
"1670",75
"1671",108
"1672",100
"1673",146
"1674",95
"1675",70
"1676",75
"1677",50
"1678",95
"1679",75
"1680",129
"1681",130
"1682",120
"1683",65
"1684",160
"1685",99
"1686",75
"1687",140
"1688",70
"1689",89
"1690",110
"1691",90
"1692",129
"1693",130
"1694",70
"1695",69
"1696",100
"1697",169
"1698",79
"1699",55
"1700",95
"1701",55
"1702",60
"1703",99
"1704",200
"1705",159
"1706",146
"1707",100
"1708",90
"1709",140
"1710",99
"1711",70
"1712",90
"1713",95
"1714",45
"1715",65
"1716",111
"1717",58
"1718",100
"1719",120
"1720",100
"1721",60
"1722",111
"1723",40
"1724",79
"1725",100
"1726",250
"1727",100
"1728",99
"1729",79
"1730",99
"1731",45
"1732",19
"1733",40
"1734",120
"1735",90
"1736",159
"1737",100
"1738",79
"1739",124
"1740",90
"1741",111
"1742",50
"1743",95
"1744",95
"1745",74
"1746",62
"1747",121
"1748",95
"1749",90
"1750",69
"1751",60
"1752",110
"1753",84
"1754",90
"1755",125
"1756",139
"1757",80
"1758",58
"1759",181
"1760",120
"1761",120
"1762",65
"1763",75
"1764",69
"1765",181
"1766",95
"1767",140
"1768",280
"1769",80
"1770",120
"1771",105
"1772",75
"1773",60
"1774",130
"1775",79
"1776",136
"1777",130
"1778",150
"1779",77
"1780",120
"1781",93
"1782",61
"1783",146
"1784",75
"1785",159
"1786",50
"1787",120
"1788",160
"1789",140
"1790",140
"1791",120
"1792",60
"1793",52
"1794",120
"1795",111
"1796",99
"1797",99
"1798",125
"1799",99
"1800",111
"1801",125
"1802",100
"1803",150
"1804",99
"1805",149
"1806",60
"1807",100
"1808",60
"1809",95
"1810",75
"1811",216
"1812",49
"1813",65
"1814",59
"1815",55
"1816",74
"1817",95
"1818",95
"1819",129
"1820",120
"1821",75
"1822",95
"1823",140
"1824",100
"1825",100
"1826",180
"1827",125
"1828",95
"1829",107
"1830",181
"1831",120
"1832",200
"1833",119
"1834",130
"1835",99
"1836",79
"1837",90
"1838",93
"1839",160
"1840",115
"1841",120
"1842",85
"1843",111
"1844",94
"1845",75
"1846",100
"1847",45
"1848",75
"1849",99
"1850",69
"1851",70
"1852",70
"1853",99
"1854",85
"1855",175
"1856",130
"1857",185
"1858",99
"1859",164
"1860",50
"1861",120
"1862",81
"1863",85
"1864",98
"1865",100
"1866",130
"1867",65
"1868",80
"1869",75
"1870",120
"1871",93
"1872",99
"1873",65
"1874",65
"1875",95
"1876",111
"1877",75
"1878",79
"1879",80
"1880",90
"1881",111
"1882",36
"1883",95
"1884",80
"1885",115
"1886",85
"1887",115
"1888",149
"1889",90
"1890",70
"1891",99
"1892",100
"1893",75
"1894",100
"1895",85
"1896",91
"1897",181
"1898",35
"1899",90
"1900",80
"1901",95
"1902",85
"1903",95
"1904",150
"1905",67
"1906",140
"1907",98
"1908",79
"1909",125
"1910",65
"1911",85
"1912",111
"1913",140
"1914",89
"1915",99
"1916",100
"1917",125
"1918",50
"1919",175
"1920",120
"1921",139
"1922",79
"1923",80
"1924",149
"1925",85
"1926",100
"1927",80
"1928",50
"1929",99
"1930",70
"1931",200
"1932",75
"1933",180
"1934",50
"1935",80
"1936",100
"1937",79
"1938",70
"1939",90
"1940",100
"1941",75
"1942",60
"1943",150
"1944",125
"1945",75
"1946",80
"1947",68
"1948",160
"1949",87
"1950",97
"1951",149
"1952",144
"1953",125
"1954",100
"1955",125
"1956",85
"1957",119
"1958",68
"1959",55
"1960",81
"1961",100
"1962",98
"1963",100
"1964",90
"1965",80
"1966",136
"1967",60
"1968",70
"1969",100
"1970",90
"1971",50
"1972",117
"1973",80
"1974",125
"1975",95
"1976",75
"1977",78
"1978",85
"1979",75
"1980",100
"1981",129
"1982",75
"1983",70
"1984",66
"1985",40
"1986",69
"1987",100
"1988",100
"1989",125
"1990",160
"1991",80
"1992",150
"1993",97
"1994",79
"1995",80
"1996",99
"1997",70
"1998",190
"1999",105
"2000",130
"2001",150
"2002",60
"2003",160
"2004",55
"2005",80
"2006",75
"2007",95
"2008",120
"2009",85
"2010",70
"2011",120
"2012",120
"2013",75
"2014",120
"2015",120
"2016",90
"2017",100
"2018",45
"2019",200
"2020",74
"2021",130
"2022",86
"2023",80
"2024",76
"2025",89
"2026",35
"2027",125
"2028",80
"2029",95
"2030",50
"2031",80
"2032",49
"2033",75
"2034",89
"2035",79
"2036",300
"2037",75
"2038",89
"2039",75
"2040",99
"2041",89
"2042",121
"2043",125
"2044",108
"2045",120
"2046",80
"2047",65
"2048",89
"2049",88
"2050",95
"2051",35
"2052",120
"2053",75
"2054",110
"2055",80
"2056",60
"2057",90
"2058",111
"2059",190
"2060",70
"2061",75
"2062",125
"2063",89
"2064",111
"2065",79
"2066",80
"2067",160
"2068",137
"2069",75
"2070",95
"2071",90
"2072",125
"2073",50
"2074",150
"2075",103
"2076",146
"2077",79
"2078",85
"2079",111
"2080",150
"2081",150
"2082",55
"2083",130
"2084",146
"2085",199
"2086",120
"2087",75
"2088",100
"2089",35
"2090",111
"2091",150
"2092",64
"2093",94
"2094",95
"2095",130
"2096",85
"2097",90
"2098",80
"2099",65
"2100",60
"2101",45
"2102",100
"2103",120
"2104",69
"2105",111
"2106",200
"2107",99
"2108",55
"2109",110
"2110",79
"2111",111
"2112",200
"2113",99
"2114",60
"2115",75
"2116",90
"2117",79
"2118",99
"2119",110
"2120",105
"2121",87
"2122",89
"2123",85
"2124",129
"2125",111
"2126",90
"2127",95
"2128",58
"2129",35
"2130",50
"2131",120
"2132",125
"2133",80
"2134",80
"2135",115
"2136",100
"2137",90
"2138",195
"2139",146
"2140",111
"2141",65
"2142",149
"2143",149
"2144",89
"2145",93
"2146",69
"2147",98
"2148",120
"2149",175
"2150",99
"2151",79
"2152",90
"2153",85
"2154",62
"2155",181
"2156",150
"2157",79
"2158",80
"2159",100
"2160",65
"2161",245
"2162",149
"2163",100
"2164",130
"2165",95
"2166",78
"2167",75
"2168",39
"2169",50
"2170",195
"2171",75
"2172",75
"2173",125
"2174",60
"2175",55
"2176",52
"2177",65
"2178",30
"2179",75
"2180",100
"2181",44
"2182",60
"2183",70
"2184",150
"2185",70
"2186",210
"2187",49
"2188",75
"2189",30
"2190",229
"2191",65
"2192",45
"2193",55
"2194",69
"2195",100
"2196",64
"2197",175
"2198",79
"2199",130
"2200",150
"2201",59
"2202",65
"2203",70
"2204",38
"2205",200
"2206",45
"2207",160
"2208",43
"2209",43
"2210",155
"2211",49
"2212",67
"2213",45
"2214",200
"2215",40
"2216",70
"2217",60
"2218",171
"2219",51
"2220",150
"2221",50
"2222",73
"2223",175
"2224",98
"2225",80
"2226",95
"2227",111
"2228",105
"2229",140
"2230",60
"2231",901
"2232",225
"2233",120
"2234",70
"2235",75
"2236",75
"2237",50
"2238",99
"2239",65
"2240",95
"2241",125
"2242",65
"2243",120
"2244",150
"2245",60
"2246",50
"2247",50
"2248",58
"2249",49
"2250",120
"2251",65
"2252",105
"2253",75
"2254",40
"2255",38
"2256",62
"2257",49
"2258",140
"2259",111
"2260",45
"2261",70
"2262",95
"2263",98
"2264",60
"2265",59
"2266",73
"2267",59
"2268",70
"2269",220
"2270",40
"2271",59
"2272",30
"2273",49
"2274",70
"2275",89
"2276",95
"2277",100
"2278",53
"2279",95
"2280",251
"2281",70
"2282",110
"2283",59
"2284",60
"2285",146
"2286",70
"2287",80
"2288",146
"2289",60
"2290",93
"2291",85
"2292",69
"2293",59
"2294",39
"2295",65
"2296",89
"2297",49
"2298",59
"2299",65
"2300",59
"2301",120
"2302",75
"2303",150
"2304",139
"2305",168
"2306",80
"2307",200
"2308",125
"2309",111
"2310",120
"2311",100
"2312",160
"2313",245
"2314",40
"2315",100
"2316",45
"2317",120
"2318",150
"2319",100
"2320",49
"2321",40
"2322",50
"2323",33
"2324",51
"2325",140
"2326",100
"2327",78
"2328",65
"2329",171
"2330",40
"2331",70
"2332",33
"2333",200
"2334",251
"2335",159
"2336",40
"2337",39
"2338",65
"2339",115
"2340",97
"2341",99
"2342",68
"2343",50
"2344",111
"2345",55
"2346",35
"2347",180
"2348",115
"2349",325
"2350",136
"2351",65
"2352",100
"2353",69
"2354",111
"2355",154
"2356",132
"2357",69
"2358",25
"2359",75
"2360",150
"2361",55
"2362",115
"2363",100
"2364",65
"2365",50
"2366",111
"2367",140
"2368",160
"2369",120
"2370",65
"2371",85
"2372",80
"2373",99
"2374",89
"2375",60
"2376",59
"2377",125
"2378",89
"2379",99
"2380",79
"2381",79
"2382",111
"2383",50
"2384",120
"2385",129
"2386",45
"2387",100
"2388",111
"2389",74
"2390",75
"2391",111
"2392",90
"2393",100
"2394",60
"2395",79
"2396",95
"2397",99
"2398",88
"2399",80
"2400",276
"2401",146
"2402",50
"2403",60
"2404",99
"2405",100
"2406",599
"2407",19
"2408",115
"2409",70
"2410",60
"2411",111
"2412",160
"2413",45
"2414",40
"2415",74
"2416",70
"2417",78
"2418",300
"2419",180
"2420",100
"2421",60
"2422",70
"2423",75
"2424",49
"2425",75
"2426",55
"2427",50
"2428",89
"2429",55
"2430",70
"2431",67
"2432",120
"2433",89
"2434",42
"2435",200
"2436",150
"2437",65
"2438",50
"2439",140
"2440",140
"2441",65
"2442",54
