,bathrooms,accommodates,distance_to_dam,bedrooms,review_scores_location,review_scores_communication,reviews_per_month,review_scores_checkin,beds,review_scores_value
10214,1.0,4,2.206,2.0,10.0,10.0,0.03,10.0,2.0,8.0
8168,1.0,4,2.594,3.0,10.0,10.0,0.98,10.0,3.0,9.0
12181,2.0,4,2.19,3.0,10.0,10.0,0.38,10.0,4.0,9.0
946,1.0,2,8.115,1.0,9.0,10.0,1.14,10.0,1.0,9.0
5457,1.0,2,2.343,1.0,9.0,10.0,1.12,10.0,1.0,8.0
4356,1.5,2,1.693,2.0,10.0,10.0,0.95,10.0,4.0,10.0
6018,1.0,2,3.985,0.0,9.0,9.0,1.1,9.0,1.0,9.0
12603,0.5,2,2.865,1.0,9.0,10.0,0.49,10.0,1.0,9.0
5323,1.5,2,2.405,1.0,9.0,10.0,1.85,10.0,1.0,10.0
7035,1.0,2,1.69,1.0,9.0,10.0,0.28,10.0,1.0,9.0
6770,1.0,4,1.661,2.0,9.0,10.0,0.58,10.0,2.0,9.0
6652,1.0,2,1.644,1.0,10.0,10.0,0.19,10.0,2.0,10.0
9249,0.5,2,3.281,1.0,8.0,8.0,0.46,8.0,1.0,7.0
98,1.0,4,4.664,4.0,10.0,10.0,0.78,10.0,5.0,10.0
11333,1.0,2,1.669,1.0,10.0,10.0,0.65,10.0,1.0,10.0
7964,1.5,4,3.503,4.0,10.0,10.0,0.08,10.0,4.0,10.0
3408,1.0,4,3.455,3.0,9.0,10.0,0.25,10.0,3.0,9.0
7713,1.0,2,3.519,1.0,9.0,10.0,0.13,10.0,2.0,9.0
4040,1.0,2,1.559,1.0,10.0,10.0,0.16,10.0,1.0,10.0
8439,1.0,2,1.888,1.0,0.0,0.0,0.0,0.0,1.0,0.0
7829,1.0,3,2.189,1.0,10.0,10.0,1.34,10.0,1.0,8.0
3868,1.0,4,1.61,1.0,10.0,10.0,0.97,10.0,2.0,10.0
10625,1.0,2,1.758,0.0,10.0,10.0,0.82,10.0,1.0,10.0
8133,1.0,2,2.004,1.0,10.0,10.0,1.73,9.0,1.0,9.0
12945,1.0,2,2.82,1.0,9.0,10.0,1.68,10.0,1.0,9.0
6678,1.0,2,1.962,1.0,10.0,10.0,1.0,10.0,1.0,10.0
7371,1.0,4,2.415,1.0,0.0,0.0,0.0,0.0,2.0,0.0
9390,1.0,2,3.674,1.0,10.0,10.0,0.71,10.0,2.0,9.0
12932,1.5,4,3.181,2.0,9.0,10.0,1.18,10.0,4.0,10.0
7636,1.0,2,1.866,1.0,10.0,10.0,2.98,10.0,1.0,9.0
4949,2.0,4,0.664,2.0,10.0,9.0,3.42,9.0,4.0,9.0
8292,0.0,2,2.071,1.0,10.0,10.0,0.38,10.0,0.0,9.0
1365,1.0,2,0.547,1.0,10.0,10.0,1.54,10.0,1.0,9.0
3071,2.0,2,3.306,1.0,9.0,9.0,1.84,10.0,1.0,8.0
12728,1.0,3,3.019,2.0,10.0,9.0,2.0,9.0,3.0,9.0
5135,1.0,2,2.024,1.0,9.0,10.0,2.21,9.0,1.0,8.0
8582,1.0,2,2.185,1.0,10.0,10.0,0.22,10.0,1.0,9.0
4301,1.0,2,1.662,1.0,10.0,10.0,1.94,10.0,1.0,9.0
1038,1.0,5,6.241,2.0,0.0,0.0,0.0,0.0,5.0,0.0
13046,1.0,2,3.088,2.0,9.0,9.0,0.6,10.0,2.0,9.0
6467,1.0,2,1.87,1.0,10.0,10.0,1.0,10.0,1.0,10.0
9403,2.0,5,3.275,5.0,8.0,8.0,0.09,6.0,5.0,8.0
4149,1.0,2,1.354,1.0,10.0,10.0,2.43,10.0,1.0,9.0
906,1.0,4,7.094,4.0,10.0,10.0,1.0,10.0,5.0,10.0
2450,1.0,2,0.757,1.0,10.0,10.0,5.03,10.0,1.0,9.0
1954,1.0,2,0.227,1.0,10.0,10.0,0.63,10.0,1.0,10.0
10256,1.0,2,2.702,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8372,1.0,2,1.956,1.0,10.0,10.0,1.85,10.0,1.0,9.0
