"","bedrooms","distance_to_dam","accommodates","review_scores_communication","review_scores_location","host_response_time","bathrooms","beds","reviews_per_month","review_scores_value"
"12397",1,2.64971861927,2,10,10,2,1,1,1.58,10
"12398",1,1.89525816655,1,10,9,1,1,1,0.74,9
"12399",1,3.13306340025,4,10,8,2,1,2,2.42,9
"12400",0,1.62750222137,3,9,9,1,1,3,2.51,9
"12401",1,1.28376975635,4,10,10,2,1,2,1.83,10
"12402",1,1.96913352047,4,10,9,2,1,4,5.84,9
"12403",1,1.49500643364,4,9,10,1,1,2,0.8,9
"12404",1,1.30884802019,2,10,10,1,1,1,0.86,9
"12405",2,1.73212572845,4,10,10,2,1,2,1.76,10
"12406",1,1.27274102629,2,10,10,1,1,1,0.64,9
"12407",2,2.70853421867,4,0,0,2,1,2,0,0
"12408",2,1.33649990993,4,9,9,2,1,3,1.82,10
"12409",1,1.66366842909,2,10,10,3,1,1,0.86,6
"12410",3,2.52621158946,3,10,8,3,1,1,0.19,8
"12411",1,1.37640233353,2,9,10,3,1,1,0.55,10
"12412",1,2.81149816049,2,10,9,1,1,1,0.39,9
"12413",2,2.82688115732,2,0,0,4,1,1,0,0
"12414",1,1.55389742258,2,10,10,2,1,1,0.38,10
"12415",2,1.93182254831,4,0,0,2,2,2,0,0
"12416",1,1.84967300341,3,10,10,4,1,2,0.28,9
"12417",2,2.68955603959,4,10,10,1,1,3,2.93,9
"12418",1,1.59381682791,2,9,9,3,1,1,1.13,9
"12419",1,2.34559268797,2,10,8,1,0,2,0.08,10
"12420",1,2.95632782376,2,10,10,4,1,1,0.32,10
"12421",2,2.40573662887,4,10,10,2,1,2,1.35,9
"12422",1,2.01601797041,2,10,9,1,1,1,2.09,8
"12423",1,1.68164607051,2,10,10,1,1,1,1.12,10
"12424",1,3.03421221549,2,10,9,1,1,1,7.29,9
"12425",1,3.02976830401,2,10,10,3,1,1,3.47,10
"12426",1,2.41336080561,2,10,10,1,1,1,0.54,9
"12427",1,1.40276853001,3,10,10,4,1,2,1.55,10
"12428",1,1.70648920085,2,10,10,2,1,1,0.32,10
"12429",1,1.85198723657,2,10,10,1,1,1,1.52,9
"12430",2,2.05466319119,3,10,10,1,1,2,0.02,10
"12431",1,2.61817012725,2,10,10,1,1,1,0.12,10
"12432",2,1.41090981638,2,10,10,2,1,2,0.9,10
"12433",1,1.81317892031,3,9,9,2,1,1,0.33,9
"12434",1,2.15764489611,2,10,10,3,1,2,0.56,9
"12435",1,2.20438813916,2,0,0,4,1,1,0,0
"12436",2,1.89092511397,4,9,8,1,1,2,0.71,6
"12437",1,2.5639356895,3,10,9,3,2,2,0.6,8
"12438",1,2.37684218902,2,0,0,3,1,1,0,0
"12439",0,1.63930356967,2,10,9,1,1,1,1.56,9
"12440",1,2.41028816696,2,0,0,4,1,1,0,0
"12441",1,1.92368317497,2,10,9,3,1,1,0.23,9
"12442",1,2.36369639898,2,8,9,2,1,2,0.38,10
"12443",1,1.49540479755,4,0,0,1,1,2,0,0
