"","bedrooms","distance_to_dam","accommodates","review_scores_communication","review_scores_location","host_response_time","bathrooms","beds","reviews_per_month","review_scores_value"
"7598",2,2.93497099096,3,10,10,1,1,2,3.13,10
"7599",1,3.07051988281,2,0,0,1,1,1,0,0
"7600",2,2.03180380839,4,10,10,2,1,3,2.19,9
"7601",1,2.23704071114,2,10,8,4,1,2,0.11,8
"7602",1,2.54806970796,2,10,10,1,1,1,2.8,9
"7603",1,2.64019500846,2,10,10,1,1,1,1.11,9
"7604",1,3.40714645844,2,10,9,2,1,1,0.73,9
"7605",1,2.22287821996,2,0,0,1,1.5,1,0,0
"7606",1,2.79657364949,2,0,0,1,2,1,0,0
"7607",1,2.7293822591,2,0,0,3,1,1,2,0
"7608",1,2.31501743247,4,10,10,2,1,1,0.64,10
"7609",2,2.83801191974,4,0,0,1,1.5,2,0,0
"7610",1,2.0622213685,4,10,10,2,1,2,1.02,9
"7611",1,2.9580574746,2,0,0,4,1.5,1,0,0
"7612",3,2.29096765196,4,10,10,2,1,3,1.37,9
"7613",1,1.85939632753,2,10,10,1,1,1,1.41,10
"7614",1,2.99780401273,4,10,9,2,1,2,1.44,10
"7615",1,2.38679950098,1,10,10,3,1,1,2.24,10
"7616",2,2.27804889239,4,9,10,3,2,2,0.34,10
"7617",1,2.8686270446,2,0,0,4,1,1,0,0
"7618",1,2.9137150076,2,9,9,4,1,1,1.76,9
"7619",1,2.31083375954,2,10,10,2,1,1,0.54,9
"7620",3,2.16323921104,6,9,10,2,1,6,3.78,8
"7621",2,3.67664634096,4,9,9,4,1,2,0.37,9
"7622",2,3.1892592529,4,0,0,4,1,2,0,0
"7623",0,2.56335977844,2,10,10,2,1,1,3.11,9
"7624",1,2.33078946394,2,10,10,2,1.5,1,0.8,9
"7625",2,2.11664486505,4,10,10,1,1,2,0.25,9
"7626",2,2.8690873503,4,10,9,1,1,2,0.74,9
"7627",1,2.18233591499,3,10,9,1,1,2,5.16,9
"7628",2,2.15086152564,4,0,0,1,1.5,4,0,0
"7629",1,2.52470448812,2,10,9,3,1,1,0.21,10
"7630",2,1.71639060757,4,10,10,4,1,2,0.25,10
"7631",1,2.09835533564,2,0,0,4,1,1,0,0
"7632",1,2.47213867097,4,10,9,3,1,1,0.85,9
"7633",0,2.05585779465,2,10,10,2,1,1,1.03,10
"7634",2,2.20283860124,4,10,10,1,2,4,2.5,10
"7635",1,1.92067986124,2,0,0,4,1,1,0,0
"7636",1,1.81185317752,2,0,0,2,1,1,0,0
"7637",1,1.86637637175,2,10,10,2,1,1,2.98,9
"7638",1,2.09045900272,2,10,10,3,1,1,0.46,10
"7639",1,1.95868261157,2,0,0,4,1,1,0,0
"7640",3,3.96837371255,4,0,0,4,1,3,0,0
"7641",1,1.93034688712,2,9,9,1,1,1,1.12,9
"7642",1,2.3815486292,3,10,10,1,1,2,0.73,9
"7643",1,3.22421014321,5,10,9,3,1,1,0.91,8
"7644",2,3.490002064,3,10,10,2,1,1,0.18,9
"7645",1,1.84876268999,2,9,9,1,1,1,2.76,8
"7646",3,1.80999634094,4,8,9,1,1,3,2.59,9
"7647",3,2.86661511296,4,10,10,1,2.5,4,0.43,10
"7648",1,2.28930180574,2,10,8,3,1,1,0.16,8
"7649",2,1.87162364851,4,10,10,3,1,4,0.17,10
"7650",3,2.23742138707,8,9,9,1,2,8,2.17,9
