bathrooms,accommodates,distance_to_dam,beds,reviews_per_month,bedrooms,review_scores_cleanliness,review_scores_checkin,guests_included,review_scores_communication
1.0,2,2.61018414038,1.0,2.0,1.0,10.0,10.0,1,10.0
1.0,2,3.25871970327,1.0,3.0,1.0,8.0,10.0,1,9.0
1.0,2,4.25516384344,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,5,3.62645032618,2.0,0.49,2.0,9.0,10.0,2,10.0
1.0,2,2.23713008268,1.0,0.26,1.0,10.0,9.0,1,10.0
1.0,4,3.95445025856,4.0,1.03,2.0,8.0,10.0,1,10.0
1.0,2,2.31271291253,1.0,0.0,0.0,0.0,0.0,1,0.0
1.0,2,4.11897501499,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,1.54373673339,1.0,3.9,1.0,8.0,7.0,1,7.0
1.0,2,1.59366716261,1.0,3.62,1.0,10.0,10.0,1,10.0
1.0,2,2.20090239975,1.0,1.02,0.0,9.0,10.0,1,10.0
1.0,4,1.35685653163,2.0,0.13,2.0,10.0,10.0,4,10.0
1.0,4,4.13618593085,3.0,1.67,1.0,9.0,10.0,3,10.0
1.0,2,2.7175323937,1.0,1.16,1.0,9.0,9.0,2,10.0
1.0,2,2.99657135359,1.0,1.0,1.0,9.0,10.0,2,10.0
1.0,3,2.90990145887,1.0,2.5,1.0,9.0,10.0,1,10.0
1.0,3,6.18902777364,2.0,5.24,2.0,9.0,10.0,0,10.0
1.0,2,1.88138396076,1.0,1.06,1.0,10.0,10.0,1,10.0
1.0,2,2.83522874802,1.0,1.44,1.0,9.0,10.0,0,10.0
1.0,2,1.10062062534,1.0,3.65,1.0,10.0,10.0,1,10.0
1.0,1,4.26110098524,1.0,2.13,1.0,7.0,9.0,1,9.0
1.0,4,1.99246497827,6.0,1.72,2.0,9.0,10.0,2,10.0
1.0,4,3.83845348393,2.0,0.0,2.0,0.0,0.0,1,0.0
1.0,2,1.42564176049,1.0,0.62,1.0,10.0,10.0,1,10.0
1.0,4,1.96658363226,2.0,2.31,2.0,10.0,10.0,2,10.0
1.0,4,2.92281949655,1.0,0.82,1.0,8.0,10.0,1,10.0
1.0,2,2.00364016223,1.0,0.12,1.0,10.0,10.0,2,10.0
1.5,4,4.8785174928,4.0,0.0,1.0,0.0,0.0,2,0.0
1.0,2,2.99009597242,1.0,0.0,1.0,0.0,0.0,2,0.0
1.0,4,8.7567540622,1.0,0.0,2.0,0.0,0.0,1,0.0
1.0,2,1.84660748474,1.0,1.45,1.0,10.0,10.0,2,10.0
1.0,2,2.98598992084,2.0,2.42,1.0,10.0,10.0,1,10.0
1.0,4,3.72187475234,2.0,0.39,2.0,9.0,10.0,1,10.0
1.0,2,0.501657974641,2.0,1.38,1.0,10.0,10.0,1,10.0
1.5,4,0.823873590111,2.0,0.0,2.0,0.0,0.0,2,0.0
1.0,2,2.74280604725,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,4,1.9102468476,2.0,0.0,2.0,0.0,0.0,1,0.0
1.0,2,2.75336456478,1.0,1.61,1.0,10.0,10.0,1,10.0
1.0,5,2.20908923685,2.0,1.95,2.0,9.0,10.0,4,10.0
1.0,4,2.69352391901,2.0,0.67,1.0,9.0,9.0,1,10.0
1.0,3,1.40155833909,2.0,0.36,1.0,10.0,10.0,1,10.0
1.0,4,1.49059480919,3.0,0.39,3.0,10.0,10.0,2,10.0
1.0,2,1.99747113973,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,2.57445869804,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,4,2.4713559234,3.0,0.0,2.0,0.0,0.0,1,0.0
1.5,4,3.37919594123,2.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,3.3084508504,1.0,2.31,1.0,9.0,10.0,1,10.0
1.0,2,2.89369744007,2.0,0.53,2.0,9.0,9.0,2,10.0
1.0,2,2.48987535363,1.0,0.16,1.0,8.0,9.0,1,9.0
1.0,2,2.6672967007,1.0,1.27,0.0,10.0,10.0,1,10.0
1.0,3,0.646799160758,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,1.14206922194,1.0,1.71,1.0,10.0,10.0,1,10.0
1.0,4,3.69500779077,2.0,0.42,2.0,8.0,10.0,1,10.0
1.0,3,5.95514333184,2.0,3.93,1.0,9.0,9.0,3,9.0
1.0,2,1.88239515341,2.0,0.81,1.0,10.0,10.0,2,10.0
1.0,2,2.19605750333,1.0,1.32,1.0,10.0,10.0,1,10.0
1.0,4,1.40369997421,1.0,0.0,1.0,0.0,0.0,2,0.0
1.0,2,1.29503936548,2.0,0.0,1.0,0.0,0.0,1,0.0
2.0,2,1.66026404528,1.0,1.66,1.0,10.0,10.0,1,10.0
1.5,2,1.18241204241,1.0,1.16,1.0,10.0,10.0,1,10.0
1.0,3,6.65462024897,2.0,1.75,1.0,9.0,9.0,3,9.0
1.0,2,6.63241155679,1.0,0.14,1.0,10.0,9.0,1,10.0
1.0,2,2.54056356198,2.0,4.73,1.0,10.0,10.0,1,10.0
1.0,3,3.52389487623,2.0,0.91,2.0,8.0,8.0,2,8.0
1.0,2,1.41148604771,1.0,1.19,1.0,10.0,8.0,1,10.0
1.0,4,3.89249020425,5.0,1.03,3.0,10.0,10.0,1,9.0
1.0,3,2.78073457756,1.0,0.87,1.0,10.0,10.0,2,10.0
1.0,2,1.4089741562,1.0,0.52,1.0,10.0,10.0,1,10.0
1.0,2,1.11538774527,1.0,0.05,1.0,0.0,0.0,1,0.0
1.0,2,3.74221385655,1.0,0.41,1.0,10.0,10.0,2,10.0
1.0,2,3.35926491,1.0,0.61,1.0,10.0,10.0,1,10.0
1.0,4,2.53304068983,2.0,1.87,1.0,9.0,10.0,1,10.0
1.0,4,1.93138435498,2.0,1.63,1.0,10.0,10.0,2,10.0
1.0,4,2.17244290567,2.0,0.0,1.0,0.0,0.0,2,0.0
1.0,3,1.42625659462,2.0,1.04,1.0,8.0,10.0,1,10.0
2.0,4,1.33335616634,2.0,1.71,1.0,10.0,10.0,2,10.0
1.5,4,7.68650059953,2.0,0.46,2.0,10.0,10.0,1,10.0
1.0,2,2.15331271028,1.0,4.74,1.0,10.0,9.0,1,9.0
1.0,2,3.74329664947,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,2.43230410739,1.0,0.21,1.0,10.0,10.0,1,10.0
1.0,2,1.92067986124,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,1.11278829823,1.0,2.42,0.0,10.0,9.0,1,10.0
1.0,2,0.214003373819,1.0,0.05,1.0,8.0,9.0,0,9.0
1.0,3,1.7446461986,1.0,4.82,1.0,10.0,10.0,2,10.0
1.0,2,0.879784448206,1.0,0.64,0.0,10.0,10.0,2,10.0
1.5,2,1.03322247749,1.0,0.0,1.0,0.0,0.0,2,0.0
1.0,1,2.53106480087,1.0,3.28,1.0,9.0,8.0,1,9.0
1.0,2,1.83658730732,1.0,0.35,1.0,9.0,10.0,2,10.0
1.0,2,2.32978312025,1.0,2.84,1.0,9.0,9.0,1,9.0
1.5,3,2.6142326319,1.0,0.33,2.0,8.0,9.0,2,9.0
1.0,2,1.5134762492,1.0,0.05,0.0,8.0,10.0,1,8.0
1.0,4,1.07442301079,2.0,0.65,2.0,10.0,10.0,1,10.0
1.0,3,1.70020249146,2.0,0.79,1.0,10.0,10.0,1,10.0
1.0,4,3.09148943659,2.0,1.04,3.0,10.0,10.0,4,10.0
1.0,2,2.82920581034,1.0,1.0,1.0,8.0,10.0,1,10.0
1.0,4,0.226842033693,1.0,3.87,1.0,9.0,10.0,2,10.0
2.0,6,1.13380096666,4.0,1.32,2.0,9.0,9.0,3,9.0
1.0,2,2.71610544666,1.0,0.0,1.0,0.0,0.0,1,0.0
1.5,3,2.68655114059,2.0,0.78,1.0,9.0,9.0,1,9.0
1.0,4,4.31749485985,5.0,0.0,3.0,0.0,0.0,1,0.0
1.0,2,3.02425147875,1.0,0.94,1.0,7.0,9.0,2,9.0
1.0,2,2.47580579369,1.0,0.67,1.0,9.0,10.0,2,10.0
1.0,3,1.57101596394,2.0,0.27,2.0,10.0,10.0,2,10.0
1.0,1,2.96118804489,1.0,0.38,1.0,10.0,10.0,0,10.0
1.0,2,3.50585094677,1.0,0.82,1.0,10.0,10.0,1,10.0
2.0,4,2.52964104358,2.0,0.66,2.0,10.0,9.0,1,10.0
1.0,2,3.03642598973,1.0,0.13,1.0,10.0,10.0,2,10.0
