bathrooms,accommodates,distance_to_dam,beds,reviews_per_month,bedrooms,review_scores_cleanliness,review_scores_checkin,guests_included,review_scores_communication
2.0,2,2.0601239933,1.0,0.09,1.0,9.0,10.0,1,9.0
1.0,4,3.84256537095,3.0,1.02,3.0,10.0,10.0,1,10.0
1.0,2,3.98447957471,1.0,2.0,0.0,9.0,9.0,1,10.0
1.0,3,0.706436285261,1.0,0.25,1.0,9.0,10.0,1,10.0
1.0,2,1.74768714833,1.0,0.47,1.0,10.0,10.0,1,10.0
1.5,4,2.78122911134,2.0,0.38,2.0,9.0,10.0,2,10.0
1.0,2,3.97383313868,2.0,0.4,1.0,10.0,10.0,1,10.0
1.0,4,7.49376927607,2.0,1.49,2.0,10.0,10.0,3,10.0
1.0,2,1.26899206235,1.0,1.04,0.0,9.0,10.0,2,10.0
1.0,2,2.04514963757,1.0,1.98,1.0,9.0,9.0,2,9.0
1.0,2,1.42411230465,1.0,0.09,1.0,7.0,10.0,2,10.0
1.0,2,5.85186689185,1.0,1.05,1.0,8.0,9.0,1,9.0
1.5,3,0.804618209998,2.0,0.92,2.0,10.0,10.0,3,10.0
1.0,2,0.957010349013,1.0,2.18,1.0,10.0,10.0,1,10.0
1.0,2,2.13379780776,1.0,0.71,1.0,10.0,10.0,0,10.0
1.0,4,1.80553345953,2.0,6.88,1.0,9.0,9.0,2,10.0
1.0,2,0.654146524775,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,4,3.95053712655,3.0,4.17,2.0,9.0,9.0,2,9.0
1.0,4,1.75525391567,4.0,0.0,1.0,0.0,0.0,1,0.0
1.0,6,1.67906657534,6.0,0.26,3.0,10.0,10.0,1,10.0
1.0,2,1.80408915919,1.0,0.11,1.0,10.0,10.0,1,10.0
1.0,2,3.75480552261,1.0,0.37,1.0,9.0,10.0,2,10.0
1.0,4,3.81408902851,3.0,0.0,2.0,0.0,0.0,1,0.0
1.0,2,2.82688115732,1.0,0.0,2.0,0.0,0.0,1,0.0
1.0,2,5.09597142529,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,3,1.3956148127,2.0,1.52,0.0,9.0,10.0,2,10.0
1.0,2,5.42816450192,1.0,0.62,1.0,10.0,10.0,1,10.0
1.0,4,3.43136305093,3.0,0.5,2.0,10.0,10.0,2,10.0
1.0,4,2.5443067211,3.0,1.06,2.0,10.0,10.0,1,10.0
1.0,2,2.94809070079,1.0,1.15,1.0,9.0,10.0,1,10.0
1.0,2,1.8040429906,1.0,0.95,1.0,10.0,10.0,1,10.0
1.0,2,2.72037702945,1.0,0.38,1.0,9.0,9.0,1,9.0
1.5,4,2.87032578383,1.0,2.11,2.0,9.0,10.0,1,10.0
1.0,2,6.57522496443,1.0,0.92,1.0,9.0,10.0,1,10.0
1.0,4,3.13306340025,2.0,2.42,1.0,9.0,9.0,2,10.0
1.0,2,2.22244969652,1.0,5.68,1.0,9.0,9.0,2,10.0
1.0,2,3.30000103872,1.0,1.76,1.0,10.0,9.0,1,10.0
1.0,4,2.09396230666,3.0,1.37,2.0,9.0,10.0,1,10.0
1.0,2,2.7880632256,1.0,3.0,1.0,10.0,10.0,1,10.0
1.0,2,1.86677786325,1.0,1.03,1.0,10.0,10.0,1,10.0
1.0,2,4.69768403438,1.0,0.29,1.0,10.0,10.0,1,10.0
1.0,2,2.40752693827,1.0,0.77,0.0,10.0,10.0,1,10.0
1.0,2,3.07749822812,1.0,1.4,1.0,10.0,10.0,2,10.0
1.0,4,3.18936616773,2.0,0.66,1.0,10.0,10.0,2,10.0
1.0,2,2.91149911063,1.0,1.0,1.0,10.0,8.0,1,10.0
1.0,4,4.21037059042,2.0,0.08,2.0,10.0,10.0,3,10.0
1.0,2,2.71499807254,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,3,3.15541596957,3.0,0.25,2.0,9.0,10.0,1,10.0
1.5,1,2.1316470213,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,4,1.24733946897,4.0,3.64,2.0,9.0,9.0,2,9.0
1.0,2,0.810354874139,1.0,4.78,0.0,9.0,10.0,0,10.0
1.0,2,3.15857671942,1.0,0.14,1.0,8.0,9.0,1,10.0
1.0,2,2.02606612257,1.0,5.6,1.0,10.0,10.0,2,10.0
1.0,2,0.649389443881,2.0,0.0,0.0,0.0,0.0,2,0.0
1.0,2,2.05444949256,1.0,3.13,1.0,8.0,9.0,1,9.0
1.5,4,1.38501820162,2.0,1.33,2.0,8.0,9.0,2,10.0
1.0,2,4.36696711615,1.0,0.0,1.0,0.0,0.0,2,0.0
1.0,2,3.52354636432,1.0,1.11,1.0,10.0,9.0,1,10.0
1.0,2,2.37581789106,1.0,1.03,0.0,8.0,8.0,1,8.0
1.0,2,2.77889378681,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,2.8700343484,1.0,0.05,1.0,8.0,8.0,1,10.0
1.0,4,1.14893670826,2.0,3.62,1.0,10.0,10.0,2,10.0
1.0,3,8.0631685039,2.0,2.03,2.0,10.0,10.0,2,10.0
1.5,4,1.30380385977,2.0,3.9,1.0,8.0,9.0,1,9.0
1.0,2,1.91752702674,2.0,0.83,1.0,10.0,10.0,1,10.0
1.0,2,1.85017559418,1.0,1.32,1.0,10.0,10.0,1,10.0
1.0,2,2.76613177995,1.0,0.21,1.0,10.0,10.0,1,10.0
1.0,3,1.99583256345,1.0,2.43,1.0,9.0,10.0,2,10.0
1.0,4,0.535032466022,2.0,1.89,1.0,10.0,10.0,1,10.0
1.0,3,2.81979491585,2.0,0.19,2.0,9.0,9.0,2,9.0
1.0,4,2.65293760674,2.0,0.0,2.0,0.0,0.0,1,0.0
1.0,3,3.21862212788,1.0,0.0,2.0,0.0,0.0,1,0.0
1.5,4,1.90930161071,2.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,1.41228958487,1.0,2.83,1.0,9.0,10.0,1,10.0
